;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;1;0;0;0;0;0;1;;;;;;;1;;106;;;15;188
1;1;0;0;0;0;0;0;;;;;;;0;;113;;;16;265
2;1;0;0;1;0;0;0;;;;;;;3;;123;;;16;105
3;1;0;0;1;0;1;0;;;;;;;0;;103;;;18;323
4;1;0;0;0;0;0;0;;;;;;;0;;97;;;14;
5;1;0;0;0;0;0;0;;;;;;;0;;105;;;23;323
6;1;0;0;0;0;0;0;;;;;;;0;;129;;;30;27847
7;1;0;0;1;0;0;0;;;;;;;0;;113;;;19;130
8;1;0;0;0;0;0;1;;;;;;;1;;115;;;22;31
9;1;0;0;0;0;0;0;;;;;;;1;;106;;;28;126
10;1;0;0;0;0;0;0;;;;;;;0;;105;;;19;100
11;1;0;0;1;0;0;0;;;;;;;1;;103;;;21;1186
12;1;0;0;1;0;0;0;;;;;;;3;;115;;;33;78
13;1;0;0;0;1;0;0;;;;;;;5;;109;;;13;48
14;1;0;0;0;0;0;0;;;;;;;0;;119;;;18;59
15;1;0;0;1;1;0;0;;;;;;;10;;135;;;22;132
16;1;0;0;0;0;0;1;;;;;;;0;;116;;;19;70
17;1;0;0;0;0;0;1;;;;;;;1;;120;;;12;99
18;1;0;0;0;0;0;0;;;;;;;0;;102;;;15;527
19;1;0;0;0;0;0;0;;;;;;;0;;111;;;20;236
20;1;0;0;0;0;0;1;;;;;;;1;;93;;;23;355
21;1;0;0;1;0;0;0;;;;;;;1;;173;;;18;
22;1;0;0;0;0;0;0;;;;;;;0;;128;;;16;29
23;1;0;0;0;0;0;0;;;;;;;0;;120;;;13;47
24;1;0;0;1;0;0;0;;;;;;;0;;104;;;24;202
25;1;0;0;1;0;0;0;;;;;;;1;;105;;;18;61
26;1;0;0;0;0;0;0;;;;;;;0;;104;;;;311
27;1;0;0;0;0;0;0;;;;;;;0;;100;;;21;2218
28;1;0;0;1;0;0;0;;;;;;;0;;129;;;18;34
29;1;0;0;0;0;0;0;;;;;;;0;;122;;;21;72
30;1;0;0;0;0;0;0;;;;;;;0;;104;;;20;90
31;1;0;0;0;0;0;0;;;;;;;0;;118;;;12;51
32;1;0;0;0;0;0;0;;;;;;;0;;115;;;17;57
33;1;0;0;1;0;0;0;;;;;;;0;;99;;;20;
34;1;0;0;0;0;0;0;;;;;;;0;;123;;;18;23310
35;1;0;0;0;0;0;1;;;;;;;1;;111;;;15;84
36;1;0;0;1;0;0;1;;;;;;;2;;102;;;24;177
37;1;0;0;1;0;0;0;;;;;;;0;;95;;;16;563
38;1;0;0;0;0;0;0;;;;;;;0;;108;;;14;40
39;1;0;0;0;0;0;0;;;;;;;0;;107;;;20;61
40;1;0;0;0;0;0;1;;;;;;;129;;109;;;17;69
41;1;0;0;0;0;1;0;;;;;;;0;;125;;;19;208
42;1;0;0;0;0;0;1;;;;;;;87;;115;;;17;44
43;1;0;0;0;0;0;0;;;;;;;0;;113;;;21;56
44;1;0;0;1;0;0;1;;;;;;;2;;103;;;15;
45;1;0;0;0;0;0;0;;;;;;;0;;119;;;17;44
46;1;0;0;1;0;0;0;;;;;;;0;;94;;;21;876
47;1;0;0;0;0;0;0;;;;;;;0;;103;;;;1896
48;1;0;0;0;0;0;0;;;;;;;0;;118;;;17;164
49;1;0;0;0;0;0;0;;;;;;;0;;122;;;20;175
50;1;0;0;0;0;0;0;;;;;;;0;;69;;;;141
51;1;0;0;0;0;0;0;;;;;;;0;;97;;;20;3273
52;1;0;0;0;0;0;1;;;;;;;1;;108;;;20;55
53;1;0;0;0;0;0;0;;;;;;;0;;109;;;16;54
54;1;0;0;0;0;0;0;;;;;;;0;;120;;;19;31
55;1;0;0;0;0;0;1;;;;;;;307;;106;;;18;56
56;1;0;0;1;0;0;0;;;;;;;0;;83;;;19;218
57;1;0;0;0;0;0;1;;;;;;;3;;111;;;22;173
58;1;0;0;0;0;0;1;;;;;;;714;;95;;;24;453
59;1;0;0;1;0;0;1;;;;;;;2;;95;;;;1194
60;1;0;0;0;0;0;0;;;;;;;0;;98;;;20;1028
61;1;0;0;0;0;0;0;;;;;;;0;;122;;;19;134
62;1;0;0;0;0;0;0;;;;;;;0;;96;;;16;
63;1;0;0;0;0;0;0;;;;;;;0;;105;;;18;61
64;1;0;0;1;0;0;0;;;;;;;1;;88;;;21;211
65;1;0;0;1;0;0;0;;;;;;;0;;115;;;17;84
66;1;0;0;0;0;0;0;;;;;;;0;;104;;;18;13749
67;1;0;0;0;0;0;0;;;;;;;0;;120;;;14;29
68;1;0;0;0;0;0;0;;;;;;;0;;112;;;18;75
69;1;0;0;1;1;0;1;;;;;;;5;;111;;;;76
70;1;0;0;0;0;0;0;;;;;;;1;;99;;;24;654
71;1;0;0;1;0;0;0;;;;;;;1;;91;;;19;116
72;1;0;0;1;0;0;1;;;;;;;69;;121;;;21;48
73;1;0;0;0;1;0;0;;;;;;;0;;;;;;
74;1;0;0;1;0;0;0;;;;;;;0;;83;;;;80
75;1;0;0;0;0;0;0;;;;;;;0;;110;;;18;87
76;1;0;0;1;0;0;0;;;;;;;0;;103;;;16;639
77;1;0;0;0;0;0;0;;;;;;;0;;120;;;;6024
78;1;0;0;1;0;0;0;;;;;;;2;;130;;;20;70
